Track,tr
Fuel,true,Tyre,false
Results posted 10 Dec 2023, 19:50
N Smith,29 Bentley Racing,43,1:39.788,+ 0:20.922,186.23,25
N Smith,29 Bentley Racing,44,1:36.288,+ 0:21.110,193.00,25
N Smith,29 Bentley Racing,45,1:36.590,+ 0:21.276,192.39,22
N Smith,29 Bentley Racing,46,1:36.985,+ 0:11.214,191.61,11
N Smith,29 Bentley Racing,47,1:37.012,+ 0:11.582,191.56,11
N Smith,29 Bentley Racing,48,1:36.377,+ 0:07.023,192.82,5
N Smith,29 Bentley Racing,49,1:35.721,+ 0:06.690,194.14,4
N Smith,29 Bentley Racing,50,1:36.777,+ 0:07.623,192.02,5
N Smith,29 Bentley Racing,51,1:37.932,+ 0:09.940,189.76,6
N Smith,29 Bentley Racing,52,1:38.082,+ 0:12.137,189.47,9
N Smith,29 Bentley Racing,53,1:38.238,+ 0:14.220,189.17,13
N Smith,29 Bentley Racing,54,1:38.891,+ 0:17.364,187.92,18
M Wood,7 Dule,START,Super soft tyres,,,3
M Wood,7 Dule,1,1:42.990,+ 0:01.406,180.44,4
M Wood,7 Dule,2,1:39.654,+ 0:02.297,186.48,4
M Wood,7 Dule,3,1:37.826,+ 0:01.930,189.96,4
M Wood,7 Dule,4,1:38.184,+ 0:01.442,189.27,4
M Wood,7 Dule,5,1:38.945,+ 0:01.243,187.81,4
M Wood,7 Dule,6,1:54.800,+ 0:09.438,161.87,10
M Wood,7 Dule,PIT,2.8 seconds / Soft tyres,,,
M Wood,7 Dule,7,1:41.384,+ 0:11.211,183.30,12
M Wood,7 Dule,8,1:39.000,+ 0:10.391,187.71,12
M Wood,7 Dule,9,1:38.219,+ 0:07.540,189.20,9
M Wood,7 Dule,10,1:37.918,+ 0:05.851,189.78,9
M Wood,7 Dule,11,1:38.097,+ 0:04.628,189.44,8
M Wood,7 Dule,12,1:37.430,+ 0:00.787,190.73,2
M Wood,7 Dule,13,1:39.054,+ 0:01.320,187.61,2
M Wood,7 Dule,14,1:54.015,+ 0:14.921,162.99,17
M Wood,7 Dule,PIT,2.7 seconds / Soft tyres,,,
M Wood,7 Dule,15,1:41.522,+ 0:13.199,183.05,16
M Wood,7 Dule,16,1:38.719,+ 0:14.442,188.24,16
M Wood,7 Dule,17,1:37.248,+ 0:13.983,191.09,14
M Wood,7 Dule,18,1:37.391,+ 0:08.953,190.81,8
M Wood,7 Dule,19,1:37.446,+ 0:08.258,190.70,8
M Wood,7 Dule,20,1:37.617,+ 0:06.002,190.37,4
M Wood,7 Dule,21,1:37.628,+ 0:06.082,190.35,4
M Wood,7 Dule,22,1:52.817,+ 0:13.371,164.72,19
M Wood,7 Dule,PIT,2.7 seconds / Soft tyres,,,
M Wood,7 Dule,23,1:39.737,+ 0:15.563,186.32,19
M Wood,7 Dule,24,1:37.758,+ 0:15.888,190.09,15
M Wood,7 Dule,25,1:36.514,+ 0:14.814,192.54,13
M Wood,7 Dule,26,1:36.950,+ 0:11.278,191.68,11
M Wood,7 Dule,27,1:36.997,+ 0:10.826,191.59,8
M Wood,7 Dule,28,1:36.340,+ 0:09.991,192.89,6
M Wood,7 Dule,29,1:36.557,+ 0:09.037,192.46,4
M Wood,7 Dule,30,1:51.736,+ 0:13.136,166.31,18
M Wood,7 Dule,PIT,2.7 seconds / Soft tyres,,,
M Wood,7 Dule,31,1:39.967,+ 0:16.246,185.89,19
M Wood,7 Dule,32,1:35.959,+ 0:14.964,193.66,14
M Wood,7 Dule,33,1:36.446,+ 0:13.874,192.68,13
M Wood,7 Dule,34,1:36.261,+ 0:10.065,193.05,11
M Wood,7 Dule,35,1:36.130,+ 0:09.378,193.31,10
M Wood,7 Dule,36,1:36.531,+ 0:09.619,192.51,7
M Wood,7 Dule,37,1:36.814,+ 0:09.561,191.95,6
M Wood,7 Dule,38,1:52.115,+ 0:14.642,165.75,16
M Wood,7 Dule,PIT,2.7 seconds / Soft tyres,,,
M Wood,7 Dule,39,1:38.764,+ 0:16.428,188.16,16
M Wood,7 Dule,40,1:36.065,+ 0:13.466,193.44,10
M Wood,7 Dule,41,1:36.238,+ 0:12.736,193.10,9
M Wood,7 Dule,42,1:36.518,+ 0:10.461,192.54,8
M Wood,7 Dule,43,1:35.441,+ 0:09.978,194.71,7
M Wood,7 Dule,44,1:36.182,+ 0:10.061,193.21,7
M Wood,7 Dule,45,1:36.005,+ 0:09.642,193.56,5
M Wood,7 Dule,46,1:50.133,+ 0:12.728,168.73,12
M Wood,7 Dule,PIT,2.6 seconds / Soft tyres,,,
M Wood,7 Dule,47,1:38.854,+ 0:14.939,187.99,12
M Wood,7 Dule,48,1:36.232,+ 0:10.234,193.11,6
M Wood,7 Dule,49,1:35.912,+ 0:10.092,193.75,6
M Wood,7 Dule,50,1:35.632,+ 0:09.879,194.32,6
M Wood,7 Dule,51,1:34.793,+ 0:09.057,196.04,5
M Wood,7 Dule,52,1:34.682,+ 0:07.853,196.27,4
M Wood,7 Dule,53,1:34.769,+ 0:06.468,196.09,3
M Wood,7 Dule,54,1:34.938,+ 0:05.659,195.74,2
T Folger,5 Stellaron Hunter,START,Super soft tyres,,,4
T Folger,5 Stellaron Hunter,1,1:42.452,+ 0:01.208,181.38,3
T Folger,5 Stellaron Hunter,2,1:39.252,+ 0:01.696,187.23,3
T Folger,5 Stellaron Hunter,3,1:37.810,+ 0:01.313,189.99,3
T Folger,5 Stellaron Hunter,4,1:38.322,+ 0:00.963,189.00,3
T Folger,5 Stellaron Hunter,5,1:39.119,+ 0:00.938,187.48,3
T Folger,5 Stellaron Hunter,6,1:56.014,+ 0:10.347,160.18,12
T Folger,5 Stellaron Hunter,PIT,2.9 seconds / Soft tyres,,,
T Folger,5 Stellaron Hunter,7,1:41.776,+ 0:12.511,182.59,14
